"property_id","price"
"82603b6ec5d3034e4facb34a","395604384"
"e4d4c0fe71859192fb729755","282781088"
"e8f5b161ce53f56aaca46470","315475040"
"f62e8d6f2524d7b4174f3071","924909248"
"6c2f4ff7fb4ef35e7e231350","362475648"
"d7f9babcd12374c239be827d","634406528"
"9e607837e732977eec8bf70a","310463264"
"61062c63dabe2f57f06259ca","284166976"
"4b75beaae14dcdccbd434324","347943296"
"b7d6b85cdad933fb665553ba","592040192"
"f3687b17c3ac3f0df1b17cff","740830592"
"9951acd9410a4c41aa5e8f1e","338972544"
"fddf478d246114fefc83a73c","709625088"
"792ded907a84cc9fc76b31dc","343628736"
"5a64842d7e616f0cef3ccfac","391373376"
"952116a752e49ef4480fa37e","1179083520"
"e089ed3d13b274200345e006","310463264"
"e338dac27f98c0370452ca30","310463264"
"0992fb1eed4754d93b910521","362669984"
"05f0e576705bf7c597cd8c75","676994496"
"3f2b65b6f6ab73edf739ede5","637281984"
"29a1c723ac903e195a0c1aa2","318163328"
"d293a800a63421a6521457e9","231115520"
"3ee317a6d38dcf50a13cda5b","231115520"
"e634ad2ae281f7fde73cb99f","231115520"
"d0ed3b8726093a7e220b45e5","380430432"
"592179620707b7ff94db50ca","375325440"
"12d6bcc5bb8c76bc4175658f","236798896"
"c2406e1813afb4f485463910","518218048"
"1ee66fd9a8c9a7ceb9c81154","343628736"
"04181d9e60e2c3a10a226c7f","391373376"
"c66ce3cbe3dd40e6396a2d46","1179083520"
"f4f1debd5e3a1cdc68568dcd","202549040"
"78e0664c339b277e3ba27aa3","439861376"
"0673f5dd426e9f7aa965485b","815966848"
"dd140ca5f580cc5d8148ec3c","696323904"
"094dc7eecffbd0c71f8810d9","423716480"
"93745351fe2c9bb59cf85bfe","415037824"
"84a9b35f004d1f58d0abcf2a","422982560"
"f17544077dd45440ad540fb3","559396416"
"807fadba2b5998cef6b693fa","310463264"
"c7079e6a27b996e5a13f020a","344704896"
"3db15b219ac79ef16742dc27","676427520"
"69c65ce26fbeb4bd4d67daa7","360762880"
"2d65c5471df150b33def3b0c","952812928"
"b3b67996b68d102be693f8e0","296807904"
"83a6da3e4e4f33d596581e65","315097248"
"589f6b5b501bccadf8794d36","377870464"
"24ff1d8884caa645b2d0d88e","597861440"
"1f3cefcf18772afcbb5ca335","404029664"
"d9456a9c2547280173b4079d","432032896"
"f48532476ac36abab7f0e43d","364794784"
"62823cd922f2e4bfa143123e","427317568"
"c20c4441261f20b5f1d4aaeb","1085459968"
"503f71c730a128d89ad6b455","317217376"
"eaaf616d351cdd27bb41967d","1085459968"
"8d1f5b18cfa7376873e5bbff","310463264"
"ecd9900e1e99bb0f06c4fe9a","270586688"
"3f64c4fd771e2b860a9489b1","547895680"
"f6472a0b94e9dab1ce696c82","363095424"
"7b9840bfa567650fadea2312","395268736"
"0bc92b21165d7c17a4ecdeb5","352702560"
"73b88f8688205b122203c40a","315475040"
"9d0a3a2a25ccce0c2e1ee8f1","432202208"
"eaadd55380b0c85f5b5b40a8","639782144"
"05e4689ac244f6412ccf6a72","311129952"
"c9686ceefcdc057d540952d1","512144064"
"f78740435faabfe25cf178c8","419529024"
"95b3e450a51207e01d375c6c","441425664"
"c080f84206ab204da2dfbf27","535507168"
"bf30a5268a83aee22611e6bf","399886272"
"a7599d07374fab61d7e1ac86","1179083520"
"84f47f3a5c6d89b64ba4d0b0","1163689472"
"44270bef20003bca7e80491b","379038688"
"6099502efd6745bad64c25a4","516406080"
"c892114492903a4c856ee314","362475648"
"659f61832fbd77f8e34d5d18","310463264"
"76d9ed64cec0939c812e35de","315153216"
"874918b4827ccb36fccbdcbe","1710146688"
"b807f1b2bfa7e1f5e112f768","278669184"
"f60b454c5c49e6bb00a81ab5","297456608"
"33e53d30f6ab6483c0f0d27b","362475648"
"bfd0fd36a1c310cad8276340","310463264"
"57b192c7b7684ca0debe5c1c","294086176"
"1442ceb358f30afc8a595552","280638816"
"40becd2e9608b58c56e4bc51","968184064"
"e49e67092795619aa8405f6f","718983104"
"8cb138a41e113359785112d3","246092816"
"5ee6ebde9f692be57f5e9d9a","718531072"
"a0d08f6b71dadb075a7566da","259465984"
"499b2618a72f8ef496f1b428","254867760"
"0618506d0cca84ccf3cbf6be","448124064"
"90093ce0d3dd78d6eddad3d1","336352288"
"b955f3381206242f69c7ee0f","1179083520"
"ba3818c8447a11bad5bf4ad3","980216960"
"e152b48ac6aa70288421dde3","315058112"
"96ca45199e1005511aa85797","1179083520"
"ae41825b6bc7fef36920519c","362475648"
"f90251d8d3b873d1e7992f16","257051824"
"d7b61d7ee321c03e0ebde240","353498720"
"dcd838cfe0e84e84a62e23a0","748726080"
"44f2eeda531608a026f8c3b4","311129952"
"4897826fb723a5c566ff8646","231115520"
"068d81f8264688d2d2c22766","432830432"
"f304b9aa146d338fba5a7ce6","442183520"
"f80f813021e3830e41f4937b","534475200"
"e0cd6db576a4e95a759b1240","480172448"
"4dbc6fc56dd3d327938642f6","690424384"
"633678a7b22b16037a6507df","258106416"
"91c2f9165d546a1c4b489103","299128640"
"1ef9b6ace7ca79b3e81740b3","314560768"
"48f46d2e440ee23bda2424ab","320356864"
"e318a8b177f4f2ce58b7af5e","400348640"
"7d069a6160e1c69e8197fe0d","288463264"
"dfa219e1a1e869d5a8da006a","328677856"
"3cbef1c7ae05909038a78092","949843648"
"01da44e8c67e4c3322901c0d","353498720"
